time,x_pos,y_pos,velocity,rotation,action
0,6.77,4.16,0,5.91091,0
0.124034,6.76862,4.17146,0.18605,3.14159,0
0.175195,6.76716,4.18284,0.262792,3.14159,0
0.214305,6.76559,4.19416,0.321458,3.14159,0
0.24716,6.76394,4.20541,0.37074,3.14159,0
0.276004,6.76218,4.21659,0.414006,3.14159,0
0.301987,6.76034,4.2277,0.45298,3.14159,0
0.325802,6.7584,4.23875,0.488702,3.14159,0
0.347889,6.75636,4.24972,0.521834,3.14159,0
0.368566,6.75422,4.26062,0.55285,3.14159,0
0.38806,6.75199,4.27146,0.58209,3.14159,0
0.40654,6.74967,4.28222,0.60981,3.14159,0
0.424144,6.74724,4.29292,0.636216,3.14159,0
0.440974,6.74472,4.30354,0.661461,3.14159,0
0.457122,6.7421,4.3141,0.685683,3.14159,0
0.472656,6.73939,4.32459,0.708983,3.14159,0
0.487637,6.73657,4.335,0.731455,3.14159,0
0.502116,6.73366,4.34535,0.753174,3.14159,0
0.516139,6.73065,4.35563,0.774208,3.14159,0
0.529741,6.72754,4.36583,0.794612,3.14159,0
0.542956,6.72433,4.37597,0.814434,3.14159,0
0.555814,6.72102,4.38603,0.833721,3.14159,0
0.56834,6.71761,4.39603,0.852509,3.14159,0
0.580557,6.7141,4.40595,0.870836,3.14159,0
0.592486,6.71049,4.41581,0.888729,3.14159,0
0.604144,6.70677,4.42559,0.906217,3.14159,0
0.615551,6.70296,4.4353,0.923326,3.14159,0
0.626719,6.69905,4.44494,0.940079,3.14159,0
0.637665,6.69503,4.45451,0.956498,3.14159,0
0.6484,6.69091,4.46401,0.9726,3.14159,0
0.658936,6.68669,4.47344,0.988403,3.14159,0
0.669283,6.68236,4.4828,1.00392,3.14159,0
0.679453,6.67794,4.49208,1.01918,3.14159,0
0.689454,6.67341,4.5013,1.03418,3.14159,0
0.699296,6.66877,4.51044,1.04894,3.14159,0
0.708986,6.66403,4.51951,1.06348,3.14159,0
0.718531,6.65919,4.52851,1.0778,3.14159,0
0.727941,6.65424,4.53744,1.09191,3.14159,0
0.73722,6.64919,4.5463,1.10583,3.14159,0
0.746374,6.64403,4.55508,1.11956,3.14159,0
0.755412,6.63877,4.56379,1.13312,3.14159,0
0.764337,6.6334,4.57243,1.14651,3.14159,0
0.773155,6.62792,4.581,1.15973,3.14159,0
0.781871,6.62234,4.5895,1.17281,3.14159,0
0.790491,6.61665,4.59792,1.18574,3.14159,0
0.799018,6.61085,4.60627,1.19853,3.14159,0
0.807457,6.60495,4.61455,1.21119,3.14159,0
0.815813,6.59894,4.62276,1.22372,3.14159,0
0.824089,6.59281,4.63089,1.23613,3.14159,0
0.832289,6.58659,4.63895,1.24843,3.14159,0
0.840416,6.58025,4.64693,1.26062,3.14159,0
0.848474,6.5738,4.65485,1.27271,3.14159,0
0.856467,6.56725,4.66269,1.2847,3.14159,0
0.864398,6.56058,4.67046,1.2966,3.14159,0
0.87227,6.5538,4.67815,1.3084,3.14159,0
0.880085,6.54692,4.68577,1.32013,3.14159,0
0.887847,6.53992,4.69332,1.33177,3.14159,0
0.895559,6.53281,4.7008,1.34334,3.14159,0
0.903222,6.5256,4.7082,1.35483,3.14159,0
0.91084,6.51826,4.71552,1.36626,3.14159,0
0.918415,6.51082,4.72278,1.37762,3.14159,0
0.925949,6.50327,4.72996,1.38892,3.14159,0
0.933446,6.4956,4.73706,1.40017,3.14159,0
0.940905,6.48782,4.74409,1.41136,3.14159,0
0.948331,6.47993,4.75105,1.4225,3.14159,0
0.955725,6.47192,4.75794,1.43359,3.14159,0
0.963089,6.4638,4.76474,1.44463,3.14159,0
0.970424,6.45556,4.77148,1.45564,3.14159,0
