time,x_pos,y_pos,velocity,rotation,action
0,6.75,3.06,0,5.23477,0
0.12931,6.74084,3.05143,0.193965,3.14159,0
0.182972,6.73151,3.04302,0.274458,3.14159,0
0.224217,6.722,3.03476,0.336326,3.14159,0
0.259065,6.71232,3.02664,0.388598,3.14159,0
0.289834,6.70247,3.01868,0.434752,3.14159,0
0.317722,6.69245,3.01086,0.476583,3.14159,0
0.343433,6.68227,3.00319,0.51515,3.14159,0
0.367432,6.67192,2.99566,0.551148,3.14159,0
0.390042,6.66141,2.98827,0.585064,3.14159,0
0.411492,6.65074,2.98103,0.617238,3.14159,0
0.431964,6.63992,2.97393,0.647945,3.14159,0
0.451588,6.62893,2.96696,0.677382,3.14159,0
0.470479,6.61779,2.96014,0.705719,3.14159,0
0.488721,6.60651,2.95345,0.733081,3.14159,0
0.506388,6.59507,2.94689,0.759582,3.14159,0
0.52354,6.58348,2.94047,0.785309,3.14159,0
0.540229,6.57174,2.93418,0.810343,3.14159,0
0.556497,6.55986,2.92802,0.834746,3.14159,0
0.572384,6.54784,2.92199,0.858576,3.14159,0
0.587919,6.53568,2.91608,0.881878,3.14159,0
0.603134,6.52338,2.91031,0.904701,3.14159,0
0.618051,6.51094,2.90466,0.927077,3.14159,0
0.632693,6.49836,2.89913,0.94904,3.14159,0
0.64708,6.48566,2.89372,0.970619,3.14159,0
0.661228,6.47282,2.88844,0.991842,3.14159,0
0.675154,6.45985,2.88328,1.01273,3.14159,0
0.688871,6.44676,2.87823,1.03331,3.14159,0
0.702392,6.43354,2.8733,1.05359,3.14159,0
0.71573,6.42019,2.86849,1.0736,3.14159,0
0.728892,6.40673,2.86379,1.09334,3.14159,0
0.74189,6.39314,2.8592,1.11283,3.14159,0
0.754733,6.37944,2.85473,1.1321,3.14159,0
0.767425,6.36562,2.85036,1.15114,3.14159,0
0.779978,6.35169,2.84611,1.16997,3.14159,0
0.792395,6.33765,2.84196,1.18859,3.14159,0
0.804684,6.32349,2.83792,1.20703,3.14159,0
0.816849,6.30923,2.83398,1.22527,3.14159,0
0.828896,6.29486,2.83015,1.24334,3.14159,0
0.840831,6.28039,2.82642,1.26125,3.14159,0
0.852657,6.26582,2.82278,1.27899,3.14159,0
0.864377,6.25114,2.81925,1.29656,3.14159,0
0.875998,6.23637,2.81582,1.314,3.14159,0
0.88752,6.2215,2.81248,1.33128,3.14159,0
0.898947,6.20654,2.80924,1.34842,3.14159,0
0.910283,6.19148,2.80609,1.36542,3.14159,0
0.921531,6.17633,2.80303,1.3823,3.14159,0
0.932693,6.1611,2.80007,1.39904,3.14159,0
0.943771,6.14577,2.79719,1.41566,3.14159,0
0.954768,6.13036,2.7944,1.43215,3.14159,0
0.965686,6.11487,2.7917,1.44853,3.14159,0
0.976526,6.0993,2.78909,1.46479,3.14159,0
0.98729,6.08365,2.78656,1.48094,3.14159,0
0.997981,6.06792,2.78411,1.49697,3.14159,0
1.0086,6.05211,2.78174,1.5129,3.14159,0
1.01915,6.03624,2.77946,1.52872,3.14159,0
1.02963,6.02029,2.77725,1.54444,3.14159,0
1.04004,6.00427,2.77512,1.56006,3.14159,0
1.05038,5.98818,2.77306,1.57557,3.14159,0
1.06066,5.97203,2.77108,1.59099,3.14159,0
1.07087,5.95582,2.76918,1.60631,3.14159,0
1.08102,5.93954,2.76734,1.62153,3.14159,0
1.09111,5.9232,2.76558,1.63666,3.14159,0
1.10113,5.90681,2.76388,1.6517,3.14159,0
1.1111,5.89035,2.76226,1.66665,3.14159,0
1.121,5.87385,2.7607,1.6815,3.14159,0
1.13084,5.85729,2.7592,1.69627,3.14159,0
1.14063,5.84068,2.75777,1.71094,3.14159,0
1.15036,5.82402,2.7564,1.72553,3.14159,0
1.16002,5.80732,2.75509,1.74004,3.14159,0
1.16964,5.79057,2.75384,1.75446,3.14159,0
1.17919,5.77378,2.75265,1.76879,3.14159,0
1.18869,5.75695,2.75152,1.78304,3.14159,0
1.19821,5.74008,2.75044,1.76876,3.14159,0
1.20783,5.72318,2.74942,1.75434,3.14159,0
1.21754,5.70624,2.74845,1.73977,3.14159,0
1.22735,5.68926,2.74753,1.72505,3.14159,0
1.23726,5.67225,2.74666,1.71018,3.14159,0
1.24728,5.65522,2.74584,1.69515,3.14159,0
1.2574,5.63816,2.74506,1.67997,3.14159,0
1.26763,5.62107,2.74434,1.66463,3.14159,0
1.27796,5.60396,2.74365,1.64913,3.14159,0
1.28841,5.58683,2.74301,1.63346,3.14159,0
1.29897,5.56968,2.74242,1.61762,3.14159,0
1.30964,5.55251,2.74186,1.60161,3.14159,0
1.32043,5.53532,2.74134,1.58543,3.14159,0
1.33134,5.51812,2.74086,1.56907,3.14159,0
1.34237,5.50091,2.74042,1.55252,3.14159,0
1.35352,5.48369,2.74001,1.53579,3.14159,0
1.3648,5.46646,2.73963,1.51887,3.14159,0
1.37622,5.44923,2.73929,1.50174,3.14159,0
1.38777,5.43199,2.73898,1.48442,3.14159,0
1.39945,5.41475,2.73869,1.4669,3.14159,0
1.41128,5.39751,2.73844,1.44916,3.14159,0
1.42325,5.38027,2.73821,1.4312,3.14159,0
1.43537,5.36304,2.73801,1.41302,3.14159,0
1.44764,5.34581,2.73783,1.39461,3.14159,0
1.46008,5.32858,2.73768,1.37596,3.14159,0
1.47267,5.31137,2.73754,1.35706,3.14159,0
1.48544,5.29417,2.73743,1.33791,3.14159,0
1.49838,5.27698,2.73733,1.3185,3.14159,0
1.51151,5.2598,2.73726,1.29881,3.14159,0
1.52482,5.24265,2.7372,1.27885,3.14159,0
1.53833,5.22551,2.73715,1.25858,3.14159,0
1.55204,5.20839,2.73711,1.23802,3.14159,0
1.56596,5.1913,2.73709,1.21713,3.14159,0
1.58011,5.17423,2.73708,1.19591,3.14159,0
1.59449,5.15719,2.73708,1.17434,3.14159,0
1.60912,5.14017,2.73708,1.1524,3.14159,0
1.624,5.12319,2.73709,1.13008,3.14159,0
1.63915,5.10624,2.73711,1.10735,3.14159,0
1.65459,5.08932,2.73713,1.08419,3.14159,0
1.67033,5.07244,2.73715,1.06058,3.14159,0
1.68639,5.0556,2.73717,1.03648,3.14159,0
1.7028,5.0388,2.7372,1.01188,3.14159,0
1.71957,5.02203,2.73722,0.986718,3.14159,0
1.73673,5.00532,2.73724,0.960971,3.14159,0
1.75432,4.98865,2.73725,0.934587,3.14159,0
1.77237,4.97203,2.73726,0.907517,3.14159,0
1.79092,4.95545,2.73726,0.879698,3.14159,0
1.81001,4.93893,2.73725,0.851062,3.14159,0
1.8297,4.92247,2.73723,0.821525,3.14159,0
1.85005,4.90605,2.7372,0.790992,3.14159,0
1.87115,4.8897,2.73715,0.759345,3.14159,0
1.89309,4.8734,2.7371,0.726444,3.14159,0
1.91597,4.85717,2.73703,0.692112,3.14159,0
1.93996,4.841,2.73694,0.65613,3.14159,0
1.96524,4.8249,2.73683,0.618216,3.14159,0
1.99205,4.80886,2.7367,0.577992,3.14159,0
2.02075,4.79289,2.73655,0.534944,3.14159,0
2.05183,4.77699,2.73638,0.488333,3.14159,0
2.08603,4.76117,2.73619,0.437024,3.14159,0
2.12463,4.74541,2.73597,0.379121,3.14159,0
2.17006,4.72974,2.73572,0.310976,3.14159,0
2.22844,4.71415,2.73545,0.223411,3.14159,0
2.33873,4.69863,2.73515,0.0579705,3.14159,0
2.37738,4.6832,2.73481,0,3.14159,0
