time,x_pos,y_pos,velocity,rotation,action
0,6.75,3.06,0,5.23477,0
0.157252,6.74,3.07562,0.235878,3.14159,0
0.222164,6.73005,3.09118,0.333246,3.14159,0
0.271818,6.72015,3.10669,0.407727,3.14159,0
0.313551,6.7103,3.12214,0.470327,3.14159,0
0.350206,6.70051,3.13753,0.52531,3.14159,0
0.383244,6.69076,3.15287,0.574866,3.14159,0
0.413533,6.68107,3.16816,0.6203,3.14159,0
0.441641,6.67142,3.18339,0.662461,3.14159,0
0.467959,6.66182,3.19856,0.701938,3.14159,0
0.492776,6.65227,3.21368,0.739164,3.14159,0
0.516309,6.64276,3.22874,0.774464,3.14159,0
0.538727,6.6333,3.24374,0.80809,3.14159,0
0.560162,6.62388,3.25868,0.840244,3.14159,0
0.580726,6.6145,3.27357,0.871089,3.14159,0
0.600507,6.60516,3.2884,0.900761,3.14159,0
0.619583,6.59586,3.30317,0.929374,3.14159,0
0.638014,6.5866,3.31789,0.95702,3.14159,0
0.655856,6.57738,3.33254,0.983784,3.14159,0
0.673157,6.5682,3.34714,1.00974,3.14159,0
0.689959,6.55905,3.36168,1.03494,3.14159,0
0.706295,6.54994,3.37616,1.05944,3.14159,0
0.722199,6.54086,3.39058,1.0833,3.14159,0
0.737699,6.53182,3.40494,1.10655,3.14159,0
0.752819,6.52281,3.41924,1.12923,3.14159,0
0.767584,6.51382,3.43348,1.15138,3.14159,0
0.782012,6.50487,3.44766,1.17302,3.14159,0
0.796123,6.49595,3.46178,1.19418,3.14159,0
0.809933,6.48706,3.47584,1.2149,3.14159,0
0.823459,6.47819,3.48983,1.23519,3.14159,0
0.836714,6.46935,3.50377,1.25507,3.14159,0
0.84971,6.46054,3.51764,1.27456,3.14159,0
0.862461,6.45175,3.53146,1.29369,3.14159,0
0.874976,6.44298,3.54521,1.31246,3.14159,0
0.887266,6.43424,3.5589,1.3309,3.14159,0
0.899341,6.42551,3.57253,1.34901,3.14159,0
0.91121,6.41681,3.58609,1.36682,3.14159,0
0.92288,6.40813,3.59959,1.38432,3.14159,0
0.93436,6.39946,3.61303,1.40154,3.14159,0
0.945656,6.39081,3.62641,1.41848,3.14159,0
0.956775,6.38218,3.63972,1.43516,3.14159,0
0.967725,6.37357,3.65297,1.45159,3.14159,0
0.978509,6.36496,3.66615,1.46776,3.14159,0
0.989136,6.35638,3.67927,1.4837,3.14159,0
0.999608,6.3478,3.69233,1.49941,3.14159,0
1.00993,6.33924,3.70532,1.5149,3.14159,0
1.02011,6.33068,3.71825,1.53017,3.14159,0
1.03015,6.32214,3.73111,1.54523,3.14159,0
1.04006,6.3136,3.7439,1.56009,3.14159,0
1.04984,6.30507,3.75663,1.57476,3.14159,0
1.05949,6.29655,3.7693,1.58923,3.14159,0
1.06901,6.28803,3.7819,1.60352,3.14159,0
1.07842,6.27952,3.79443,1.61763,3.14159,0
1.08771,6.27101,3.80689,1.63157,3.14159,0
1.09689,6.2625,3.81929,1.64533,3.14159,0
1.10595,6.25399,3.83162,1.65893,3.14159,0
1.11492,6.24549,3.84389,1.67237,3.14159,0
1.12377,6.23698,3.85609,1.68566,3.14159,0
1.13253,6.22848,3.86821,1.69879,3.14159,0
1.14118,6.21997,3.88028,1.71177,3.14159,0
1.14974,6.21145,3.89227,1.72461,3.14159,0
1.15821,6.20293,3.90419,1.73731,3.14159,0
1.16658,6.19441,3.91605,1.74988,3.14159,0
1.17487,6.18588,3.92784,1.7623,3.14159,0
1.18307,6.17735,3.93956,1.7746,3.14159,0
1.19118,6.1688,3.95121,1.78677,3.14159,0
1.19921,6.16024,3.96279,1.79882,3.14159,0
1.20716,6.15168,3.9743,1.81074,3.14159,0
1.21503,6.1431,3.98574,1.82255,3.14159,0
1.22283,6.13451,3.99711,1.83424,3.14159,0
1.23054,6.12591,4.00841,1.84582,3.14159,0
1.23819,6.11729,4.01963,1.85728,3.14159,0
1.24576,6.10866,4.03079,1.86864,3.14159,0
1.25326,6.10001,4.04188,1.87989,3.14159,0
1.2607,6.09134,4.05289,1.89105,3.14159,0
1.26806,6.08266,4.06384,1.90209,3.14159,0
1.27536,6.07395,4.07471,1.91305,3.14159,0
1.2826,6.06523,4.08551,1.9239,3.14159,0
1.28977,6.05648,4.09624,1.93466,3.14159,0
1.29689,6.04772,4.10689,1.94533,3.14159,0
1.30394,6.03892,4.11747,1.95591,3.14159,0
1.31094,6.03011,4.12798,1.9664,3.14159,0
1.31787,6.02127,4.13842,1.97681,3.14159,0
1.32475,6.0124,4.14878,1.98713,3.14159,0
1.33158,6.0035,4.15907,1.99737,3.14159,0
1.33835,5.99458,4.16928,2.00753,3.14159,0
1.34508,5.98563,4.17942,2.01761,3.14159,0
1.35175,5.97664,4.18949,2.02762,3.14159,0
1.35837,5.96763,4.19948,2.03755,3.14159,0
1.36494,5.95858,4.2094,2.04741,3.14159,0
1.37146,5.9495,4.21924,2.05719,3.14159,0
1.37794,5.94039,4.22901,2.06691,3.14159,0
1.38437,5.93124,4.2387,2.07656,3.14159,0
1.39076,5.92205,4.24831,2.08614,3.14159,0
1.39711,5.91283,4.25785,2.09566,3.14159,0
1.40341,5.90357,4.26731,2.10512,3.14159,0
1.40968,5.89427,4.2767,2.11451,3.14159,0
1.4159,5.88493,4.28601,2.12385,3.14159,0
1.42208,5.87555,4.29524,2.13312,3.14159,0
1.42823,5.86612,4.3044,2.14234,3.14159,0
1.43434,5.85666,4.31347,2.15151,3.14159,0
1.44041,5.84714,4.32247,2.16062,3.14159,0
1.44645,5.83759,4.3314,2.16968,3.14159,0
1.45246,5.82798,4.34024,2.17868,3.14159,0
1.45843,5.81833,4.34901,2.18764,3.14159,0
1.46437,5.80864,4.35769,2.19655,3.14159,0
1.47027,5.79889,4.3663,2.20541,3.14159,0
1.47615,5.78909,4.37483,2.21423,3.14159,0
1.482,5.77924,4.38328,2.223,3.14159,0
1.48782,5.76934,4.39165,2.23174,3.14159,0
1.49362,5.75939,4.39994,2.24043,3.14159,0
1.49938,5.74938,4.40816,2.24908,3.14159,0
1.50512,5.73932,4.41629,2.25769,3.14159,0
1.51084,5.7292,4.42434,2.26626,3.14159,0
1.51653,5.71902,4.43231,2.2748,3.14159,0
1.5222,5.70879,4.4402,2.28331,3.14159,0
1.52785,5.69849,4.448,2.29178,3.14159,0
1.53348,5.68814,4.45573,2.30022,3.14159,0
1.53909,5.67772,4.46338,2.30863,3.14159,0
1.54467,5.66725,4.47094,2.31701,3.14159,0
1.55024,5.65671,4.47842,2.32536,3.14159,0
1.55579,5.6461,4.48582,2.33369,3.14159,0
1.56132,5.63544,4.49313,2.34199,3.14159,0
1.56684,5.6247,4.50037,2.35026,3.14159,0
1.57234,5.6139,4.50752,2.35852,3.14159,0
1.57783,5.60303,4.51459,2.36675,3.14159,0
1.58331,5.59209,4.52157,2.37496,3.14159,0
1.58877,5.58108,4.52847,2.38315,3.14159,0
1.59422,5.57,4.53529,2.39132,3.14159,0
1.59965,5.55885,4.54202,2.39948,3.14159,0
1.60508,5.54762,4.54867,2.40762,3.14159,0
1.6105,5.53633,4.55523,2.41575,3.14159,0
1.61591,5.52495,4.56171,2.42386,3.14159,0
1.62131,5.5135,4.5681,2.43197,3.14159,0
1.6267,5.50198,4.57441,2.44006,3.14159,0
1.63209,5.49037,4.58063,2.44814,3.14159,0
1.63747,5.47869,4.58677,2.45621,3.14159,0
1.64285,5.46692,4.59282,2.46428,3.14159,0
1.64822,5.45508,4.59878,2.47234,3.14159,0
1.65359,5.44315,4.60466,2.48039,3.14159,0
1.65896,5.43114,4.61045,2.48844,3.14159,0
1.66432,5.41905,4.61616,2.49649,3.14159,0
1.66969,5.40687,4.62178,2.50453,3.14159,0
1.67505,5.39461,4.62731,2.51258,3.14159,0
1.68041,5.38226,4.63275,2.52062,3.14159,0
1.68578,5.36982,4.6381,2.52867,3.14159,0
1.69114,5.35729,4.64337,2.53671,3.14159,0
1.69651,5.34467,4.64855,2.54477,3.14159,0
1.70188,5.33197,4.65364,2.55282,3.14159,0
1.70726,5.31917,4.65864,2.56089,3.14159,0
1.71264,5.30627,4.66355,2.56895,3.14159,0
1.71802,5.29329,4.66837,2.57703,3.14159,0
1.72341,5.28021,4.67311,2.58511,3.14159,0
1.72881,5.26703,4.67775,2.59321,3.14159,0
1.73421,5.25375,4.6823,2.60131,3.14159,0
1.73963,5.24038,4.68677,2.6,3.14159,0
1.74508,5.22691,4.69114,2.6,3.14159,0
1.75055,5.21334,4.69542,2.6,3.14159,0
1.75605,5.19967,4.69961,2.6,3.14159,0
1.76158,5.1859,4.70371,2.6,3.14159,0
1.76713,5.17202,4.70772,2.6,3.14159,0
1.77272,5.15804,4.71164,2.6,3.14159,0
1.77833,5.14396,4.71547,2.6,3.14159,0
1.78397,5.12977,4.7192,2.6,3.14159,0
1.78965,5.11547,4.72284,2.6,3.14159,0
1.79535,5.10107,4.72639,2.6,3.14159,0
1.80109,5.08656,4.72985,2.6,3.14159,0
1.80686,5.07193,4.73321,2.6,3.14159,0
1.81267,5.0572,4.73648,2.6,3.14159,0
1.81851,5.04236,4.73966,2.6,3.14159,0
1.82438,5.0274,4.74274,2.6,3.14159,0
1.83029,5.01233,4.74573,2.6,3.14159,0
1.83623,4.99714,4.74863,2.6,3.14159,0
1.84222,4.98184,4.75143,2.6,3.14159,0
1.84824,4.96642,4.75413,2.6,3.14159,0
1.8543,4.95088,4.75675,2.6,3.14159,0
1.8604,4.93523,4.75926,2.6,3.14159,0
1.86653,4.91946,4.76168,2.6,3.14159,0
