time,x_pos,y_pos,velocity,rotation,action
0,1.78,2.73,0,3.14159,0
0.116352,1.79354,2.73,0.232704,3.14159,0
0.165738,1.80747,2.73,0.331475,3.14159,0
0.204379,1.82177,2.73,0.408759,3.14159,0
0.237528,1.83642,2.73,0.475057,3.14159,0
0.267194,1.85139,2.73,0.534389,3.14159,0
0.294392,1.86667,2.73,0.588783,3.14159,0
0.319716,1.88222,2.73,0.639432,3.14159,0
0.343547,1.89802,2.73,0.687094,3.14159,0
0.366145,1.91406,2.73,0.732291,3.14159,0
0.387697,1.93031,2.73,0.775393,3.14159,0
0.408338,1.94674,2.73,0.816675,3.14159,0
0.428174,1.96333,2.73,0.856348,3.14159,0
0.447287,1.98007,2.73,0.894574,3.14159,0
0.46574,1.99691,2.73,0.93148,3.14159,0
0.483585,2.01385,2.73,0.96717,3.14159,0
0.500864,2.03086,2.73,1.00173,3.14159,0
0.51792,2.04792,2.73,1,3.14159,0
0.534999,2.065,2.73,1,3.14159,0
0.552079,2.08208,2.73,1,3.14159,0
0.569436,2.09914,2.73,0.965285,3.14159,0
0.587392,2.11615,2.73,0.929374,3.14159,0
0.605992,2.13309,2.73,0.892173,3.14159,0
0.625294,2.14993,2.73,0.853569,3.14159,0
0.645369,2.16667,2.73,0.81342,3.14159,0
0.666307,2.18326,2.73,0.771542,3.14159,0
0.688227,2.19969,2.73,0.727704,3.14159,0
0.711282,2.21594,2.73,0.681592,3.14159,0
0.735686,2.23198,2.73,0.632785,3.14159,0
0.761738,2.24778,2.73,0.580681,3.14159,0
0.789883,2.26333,2.73,0.52439,3.14159,0
0.820838,2.27861,2.73,0.46248,3.14159,0
0.855866,2.29358,2.73,0.392425,3.14159,0
0.897643,2.30823,2.73,0.308872,3.14159,0
0.954361,2.32253,2.73,0.195435,3.14159,0
1.05208,2.33646,2.73,0,3.14159,0
