time,x_pos,y_pos,velocity,rotation,action
0,5.35,2.7,0,0,0
0.134198,5.36058,2.68542,0.268396,0,0
0.189269,5.37111,2.67106,0.378538,0,0
0.231181,5.38162,2.65691,0.462362,0,0
0.266228,5.39209,2.64297,0.532456,0,0
0.296861,5.40253,2.62925,0.593722,0,0
0.324335,5.41295,2.61573,0.648671,0,0
0.349406,5.42335,2.60242,0.698812,0,0
0.372562,5.43374,2.58932,0.745124,0,0
0.394146,5.44411,2.57643,0.788291,0,0
0.414408,5.45448,2.56374,0.828815,0,0
0.433539,5.46484,2.55126,0.867078,0,0
0.451687,5.4752,2.53898,0.903374,0,0
0.468971,5.48556,2.5269,0.937942,0,0
0.485487,5.49593,2.51503,0.970974,0,0
0.501318,5.50631,2.50336,1.00264,0,0
0.516528,5.51671,2.49188,1.03306,0,0
0.531177,5.52712,2.48061,1.06235,0,0
0.545314,5.53756,2.46954,1.09063,0,0
0.558981,5.54803,2.45866,1.11796,0,0
0.572218,5.55852,2.44798,1.14444,0,0
0.585058,5.56905,2.4375,1.17012,0,0
0.59753,5.57962,2.42721,1.19506,0,0
0.609662,5.59023,2.41711,1.21932,0,0
0.621478,5.60088,2.40721,1.24296,0,0
0.633,5.61159,2.3975,1.266,0,0
0.644247,5.62235,2.38797,1.28849,0,0
0.65524,5.63316,2.37864,1.31048,0,0
0.665993,5.64404,2.3695,1.33199,0,0
0.676525,5.65498,2.36055,1.35305,0,0
0.686849,5.66599,2.35178,1.3737,0,0
0.696978,5.67708,2.3432,1.39396,0,0
0.706926,5.68824,2.33481,1.41385,0,0
0.716704,5.69948,2.32659,1.43341,0,0
0.726325,5.7108,2.31857,1.45265,0,0
0.735798,5.72222,2.31072,1.4716,0,0
0.745132,5.73372,2.30306,1.49026,0,0
0.75434,5.74533,2.29557,1.50868,0,0
0.763428,5.75703,2.28827,1.52686,0,0
0.772407,5.76883,2.28114,1.54481,0,0
0.781284,5.78075,2.2742,1.56257,0,0
0.790066,5.79277,2.26743,1.58013,0,0
0.798762,5.80491,2.26083,1.59752,0,0
0.807378,5.81717,2.25441,1.61476,0,0
0.816013,5.82955,2.24816,1.59749,0,0
0.824765,5.84206,2.24209,1.57998,0,0
0.833644,5.8547,2.23619,1.56222,0,0
0.842659,5.86748,2.23046,1.54419,0,0
0.851817,5.88039,2.2249,1.52588,0,0
0.861131,5.89345,2.2195,1.50725,0,0
0.87061,5.90665,2.21428,1.48829,0,0
0.880265,5.92,2.20922,1.46898,0,0
0.890109,5.9335,2.20433,1.44929,0,0
0.900153,5.94716,2.19961,1.4292,0,0
0.910412,5.96099,2.19505,1.40869,0,0
0.920901,5.97498,2.19065,1.38771,0,0
0.931633,5.98914,2.18642,1.36624,0,0
0.942628,6.00347,2.18235,1.34426,0,0
0.953901,6.01798,2.17843,1.32171,0,0
0.965474,6.03267,2.17468,1.29856,0,0
0.977367,6.04755,2.17109,1.27478,0,0
0.989605,6.06261,2.16765,1.2503,0,0
1.00221,6.07787,2.16437,1.22508,0,0
1.01522,6.09332,2.16125,1.19907,0,0
1.02866,6.10897,2.15828,1.1722,0,0
1.04256,6.12483,2.15547,1.14439,0,0
1.05697,6.14089,2.15281,1.11557,0,0
1.07193,6.15717,2.1503,1.08564,0,0
1.0875,6.17366,2.14794,1.05451,0,0
1.10374,6.19037,2.14573,1.02204,0,0
1.12071,6.2073,2.14367,0.988091,0,0
1.13851,6.22447,2.14176,0.952497,0,0
1.15723,6.24186,2.14,0.915053,0,0
1.177,6.25949,2.13838,0.875509,0,0
1.19798,6.27735,2.13691,0.833552,0,0
1.22036,6.29546,2.13559,0.788783,0,0
1.24442,6.31382,2.1344,0.740678,0,0
1.27049,6.33243,2.13336,0.688523,0,0
1.29911,6.35128,2.13247,0.631299,0,0
1.33103,6.3704,2.13171,0.567455,0,0
1.36755,6.38978,2.13109,0.494414,0,0
1.41114,6.40943,2.13061,0.407234,0,0
1.46799,6.42934,2.13027,0.29354,0,0
1.57799,6.44953,2.13007,0,0,0
