time,x_pos,y_pos,velocity,rotation,action
0,6.67,1.73,0,0.785398,0
0.137664,6.65659,1.7434,0.275328,3.14159,0
0.194208,6.64331,1.75665,0.388416,3.14159,0
0.237278,6.63015,1.76977,0.474557,3.14159,0
0.273324,6.6171,1.78275,0.546649,3.14159,0
0.304856,6.60416,1.7956,0.609713,3.14159,0
0.333162,6.59134,1.80831,0.666324,3.14159,0
0.359008,6.57862,1.82089,0.718016,3.14159,0
0.382901,6.566,1.83334,0.765802,3.14159,0
0.405188,6.55349,1.84567,0.810375,3.14159,0
0.426125,6.54107,1.85787,0.852251,3.14159,0
0.445908,6.52875,1.86994,0.891816,3.14159,0
0.464687,6.51652,1.88189,0.929374,3.14159,0
0.482583,6.50438,1.89373,0.965167,3.14159,0
0.499693,6.49233,1.90544,0.999386,3.14159,0
0.5161,6.48036,1.91704,1.0322,3.14159,0
0.53263,6.46847,1.92852,1,3.14159,0
0.549023,6.45666,1.93988,1,3.14159,0
0.565287,6.44492,1.95114,1,3.14159,0
0.581422,6.43325,1.96229,1,3.14159,0
0.597434,6.42165,1.97332,1,3.14159,0
0.613325,6.41012,1.98425,1,3.14159,0
0.629099,6.39864,1.99508,1,3.14159,0
0.64476,6.38723,2.0058,1,3.14159,0
0.660309,6.37588,2.01643,1,3.14159,0
0.675752,6.36457,2.02695,1,3.14159,0
0.691093,6.35332,2.03738,1,3.14159,0
0.706332,6.34212,2.04771,1,3.14159,0
0.721476,6.33096,2.05794,1,3.14159,0
0.736527,6.31984,2.06809,1,3.14159,0
0.751488,6.30876,2.07814,1,3.14159,0
0.766364,6.29771,2.08811,1,3.14159,0
0.781157,6.2867,2.09799,1,3.14159,0
0.795872,6.27572,2.10778,1,3.14159,0
0.81051,6.26477,2.11749,1,3.14159,0
0.825077,6.25384,2.12712,1,3.14159,0
0.839577,6.24292,2.13667,1,3.14159,0
0.854011,6.23203,2.14614,1,3.14159,0
0.868384,6.22115,2.15553,1,3.14159,0
0.8827,6.21029,2.16486,1,3.14159,0
0.896963,6.19943,2.1741,1,3.14159,0
0.911174,6.18858,2.18328,1,3.14159,0
0.925339,6.17773,2.19239,1,3.14159,0
0.939461,6.16688,2.20143,1,3.14159,0
0.953542,6.15603,2.21041,1,3.14159,0
0.967588,6.14518,2.21932,1,3.14159,0
0.981603,6.13431,2.22817,1,3.14159,0
0.995588,6.12343,2.23696,1,3.14159,0
1.00955,6.11254,2.24569,1,3.14159,0
1.02349,6.10163,2.25436,1,3.14159,0
1.03741,6.0907,2.26298,1,3.14159,0
1.05132,6.07974,2.27155,1,3.14159,0
1.06521,6.06876,2.28007,1,3.14159,0
1.0791,6.05775,2.28853,1,3.14159,0
1.09299,6.04671,2.29695,1,3.14159,0
1.10688,6.03563,2.30532,1,3.14159,0
1.12077,6.02451,2.31365,1,3.14159,0
1.13467,6.01335,2.32194,1,3.14159,0
1.14858,6.00214,2.33018,1,3.14159,0
1.1625,5.99089,2.33839,1,3.14159,0
1.17645,5.97959,2.34656,1,3.14159,0
1.19042,5.96824,2.3547,1,3.14159,0
1.20441,5.95682,2.3628,1,3.14159,0
1.21844,5.94535,2.37087,1,3.14159,0
1.2325,5.93382,2.37891,1,3.14159,0
1.2466,5.92222,2.38692,1,3.14159,0
1.26073,5.91055,2.3949,1,3.14159,0
1.27492,5.89881,2.40286,1,3.14159,0
1.28915,5.887,2.4108,1,3.14159,0
1.30343,5.87511,2.41872,1,3.14159,0
1.31777,5.86314,2.42661,1,3.14159,0
1.33217,5.85109,2.43449,1,3.14159,0
1.34664,5.83895,2.44236,1,3.14159,0
1.36117,5.82672,2.45021,1,3.14159,0
1.37577,5.8144,2.45805,1,3.14159,0
1.39045,5.80198,2.46587,1,3.14159,0
1.4052,5.78947,2.47369,1,3.14159,0
1.42004,5.77686,2.4815,1,3.14159,0
1.43496,5.76414,2.48931,1,3.14159,0
1.44998,5.75131,2.49712,1,3.14159,0
1.46508,5.73838,2.50492,1,3.14159,0
1.48029,5.72533,2.51272,1,3.14159,0
1.49559,5.71217,2.52053,1,3.14159,0
1.511,5.69888,2.52833,1,3.14159,0
1.52651,5.68548,2.53615,1,3.14159,0
1.54214,5.67195,2.54397,1,3.14159,0
1.55788,5.65829,2.5518,1,3.14159,0
1.57374,5.64451,2.55964,1,3.14159,0
1.58973,5.63059,2.5675,1,3.14159,0
1.60584,5.61653,2.57537,1,3.14159,0
1.62208,5.60233,2.58325,1,3.14159,0
1.63845,5.58799,2.59116,1,3.14159,0
1.65496,5.57351,2.59908,1,3.14159,0
1.6719,5.55888,2.60702,0.966124,3.14159,0
1.68961,5.54409,2.61499,0.930707,3.14159,0
1.70818,5.52915,2.62298,0.893556,3.14159,0
1.72774,5.51406,2.63101,0.854438,3.14159,0
1.74843,5.4988,2.63905,0.813059,3.14159,0
1.77044,5.48338,2.64713,0.769046,3.14159,0
1.79401,5.46779,2.65525,0.721904,3.14159,0
1.81948,5.45204,2.66339,0.670968,3.14159,0
1.84732,5.43611,2.67157,0.615284,3.14159,0
1.87826,5.42001,2.67979,0.553407,3.14159,0
1.91349,5.40373,2.68805,0.482944,3.14159,0
1.95528,5.38726,2.69635,0.399361,3.14159,0
2.00918,5.37062,2.7047,0.291566,3.14159,0
2.10551,5.35378,2.71308,0.0989001,3.14159,0
2.15496,5.33676,2.72152,0,3.14159,0
