time,x_pos,y_pos,velocity,rotation,action
0,6.67,1.73,0,0.785398,0
0.151502,6.65374,1.7138,0.303004,3.14159,0
0.21386,6.63755,1.69776,0.427721,3.14159,0
0.261443,6.62143,1.6819,0.522886,3.14159,0
0.301331,6.60538,1.66622,0.602663,3.14159,0
0.33628,6.58939,1.6507,0.672559,3.14159,0
0.3677,6.57346,1.63535,0.735399,3.14159,0
0.396435,6.5576,1.62016,0.79287,3.14159,0
0.423033,6.5418,1.60515,0.846065,3.14159,0
0.447876,6.52606,1.5903,0.895752,3.14159,0
0.471244,6.51039,1.57561,0.942488,3.14159,0
0.493349,6.49477,1.56109,0.986697,3.14159,0
0.514353,6.47922,1.54674,1.02871,3.14159,0
0.53439,6.46373,1.53254,1.06878,3.14159,0
0.553562,6.4483,1.51851,1.10712,3.14159,0
0.571962,6.43292,1.50464,1.14392,3.14159,0
0.589661,6.4176,1.49092,1.17932,3.14159,0
0.606722,6.40234,1.47737,1.21344,3.14159,0
0.623198,6.38713,1.46397,1.2464,3.14159,0
0.639137,6.37198,1.45073,1.27827,3.14159,0
0.654577,6.35689,1.43765,1.30915,3.14159,0
0.669557,6.34185,1.42472,1.33911,3.14159,0
0.684104,6.32686,1.41195,1.36821,3.14159,0
0.69825,6.31193,1.39933,1.3965,3.14159,0
0.712017,6.29704,1.38686,1.42403,3.14159,0
0.72543,6.28221,1.37454,1.45086,3.14159,0
0.738508,6.26743,1.36237,1.47702,3.14159,0
0.75127,6.2527,1.35035,1.50254,3.14159,0
0.763731,6.23802,1.33848,1.52746,3.14159,0
0.775909,6.22338,1.32676,1.55182,3.14159,0
0.787817,6.2088,1.31519,1.57563,3.14159,0
0.799469,6.19426,1.30376,1.59894,3.14159,0
0.810875,6.17977,1.29247,1.62175,3.14159,0
0.822048,6.16532,1.28133,1.6441,3.14159,0
0.832997,6.15092,1.27033,1.66599,3.14159,0
0.843732,6.13656,1.25948,1.68746,3.14159,0
0.854262,6.12224,1.24876,1.70852,3.14159,0
0.864596,6.10797,1.23819,1.72919,3.14159,0
0.874742,6.09374,1.22775,1.74948,3.14159,0
0.884706,6.07955,1.21745,1.76941,3.14159,0
0.894495,6.06541,1.20729,1.78899,3.14159,0
0.904117,6.0513,1.19727,1.80823,3.14159,0
0.913578,6.03723,1.18738,1.82716,3.14159,0
0.922882,6.0232,1.17763,1.84576,3.14159,0
0.932036,6.00921,1.16801,1.86407,3.14159,0
0.941045,5.99525,1.15853,1.88209,3.14159,0
0.949914,5.98133,1.14917,1.89983,3.14159,0
0.958647,5.96745,1.13995,1.91729,3.14159,0
