time,x_pos,y_pos,velocity,rotation,action
0,1.78,1.03499,0,3.14159,1
0.109833,1.7912,1.03052,0.219666,3.14159,0
0.155427,1.80245,1.02607,0.310855,3.14159,0
0.190483,1.81375,1.02166,0.380967,3.14159,0
0.220097,1.82509,1.01728,0.440193,3.14159,0
0.246239,1.83648,1.01293,0.492478,3.14159,0
0.269922,1.84791,1.00861,0.539845,3.14159,0
0.291747,1.8594,1.00433,0.583493,3.14159,0
0.312102,1.87093,1.00007,0.624204,3.14159,0
0.331261,1.88251,0.99585,0.662522,3.14159,0
0.349421,1.89414,0.991658,0.698841,3.14159,0
0.36673,1.90582,0.987498,0.73346,3.14159,0
0.383304,1.91754,0.983369,0.766609,3.14159,0
0.399236,1.92932,0.979272,0.798472,3.14159,0
0.4146,1.94114,0.975206,0.8292,3.14159,0
0.429457,1.95301,0.971172,0.858915,3.14159,0
0.44386,1.96494,0.967169,0.887719,3.14159,0
0.45785,1.97691,0.963197,0.9157,3.14159,0
0.471466,1.98894,0.959257,0.942931,3.14159,0
0.484738,2.00101,0.955348,0.969477,3.14159,0
0.497696,2.01314,0.95147,0.995392,3.14159,0
0.510364,2.02531,0.947624,1.02073,3.14159,0
0.522762,2.03754,0.943809,1.04552,3.14159,0
0.53491,2.04982,0.940025,1.06982,3.14159,0
0.546826,2.06215,0.936273,1.09365,3.14159,0
0.558524,2.07453,0.932552,1.11705,3.14159,0
0.570018,2.08697,0.928862,1.14004,3.14159,0
0.58132,2.09946,0.925204,1.16264,3.14159,0
0.592442,2.112,0.921577,1.18488,3.14159,0
0.603394,2.12459,0.917981,1.20679,3.14159,0
0.614186,2.13724,0.914416,1.22837,3.14159,0
0.624826,2.14994,0.910883,1.24965,3.14159,0
0.635322,2.16269,0.907381,1.27064,3.14159,0
0.645682,2.1755,0.90391,1.29136,3.14159,0
0.655911,2.18836,0.90047,1.31182,3.14159,0
0.666017,2.20128,0.897061,1.33203,3.14159,0
0.676005,2.21425,0.893684,1.35201,3.14159,0
0.685882,2.22728,0.890338,1.37176,3.14159,0
0.69565,2.24036,0.887023,1.3913,3.14159,0
0.705316,2.2535,0.883739,1.41063,3.14159,0
0.714884,2.26669,0.880486,1.42977,3.14159,0
0.724359,2.27994,0.877264,1.44872,3.14159,0
0.733743,2.29325,0.874073,1.46749,3.14159,0
0.743041,2.30661,0.870914,1.48608,3.14159,0
0.752255,2.32003,0.867785,1.50451,3.14159,0
0.761391,2.33351,0.864688,1.52278,3.14159,0
0.770449,2.34704,0.861622,1.5409,3.14159,0
0.779434,2.36063,0.858587,1.55887,3.14159,0
0.788348,2.37428,0.855582,1.5767,3.14159,0
0.797194,2.38799,0.852609,1.59439,3.14159,0
0.805974,2.40175,0.849667,1.61195,3.14159,0
0.814691,2.41558,0.846756,1.62938,3.14159,0
0.823346,2.42946,0.843876,1.64669,3.14159,0
0.831942,2.4434,0.841027,1.66388,3.14159,0
0.840481,2.4574,0.838209,1.68096,3.14159,0
0.848965,2.47146,0.835422,1.69793,3.14159,0
0.857396,2.48558,0.832666,1.71479,3.14159,0
0.865775,2.49976,0.82994,1.73155,3.14159,0
0.874104,2.514,0.827246,1.74821,3.14159,0
0.882386,2.5283,0.824582,1.76477,3.14159,0
0.89062,2.54266,0.82195,1.78124,3.14159,0
0.89881,2.55708,0.819349,1.79762,3.14159,0
0.906955,2.57156,0.816778,1.81391,3.14159,0
0.915059,2.58611,0.814238,1.83012,3.14159,0
0.923121,2.60071,0.811729,1.84624,3.14159,0
0.931144,2.61538,0.809251,1.86229,3.14159,0
0.939127,2.63011,0.806804,1.87825,3.14159,0
0.947074,2.6449,0.804387,1.89415,3.14159,0
0.954984,2.65976,0.802002,1.90997,3.14159,0
0.962859,2.67468,0.799647,1.92572,3.14159,0
0.9707,2.68966,0.797323,1.9414,3.14159,0
0.978508,2.7047,0.79503,1.95702,3.14159,0
0.986283,2.71981,0.792768,1.97257,3.14159,0
0.994027,2.73498,0.790536,1.98805,3.14159,0
1.00174,2.75022,0.788335,2.00348,3.14159,0
1.00947,2.76552,0.786165,2,3.14159,0
1.01722,2.78089,0.784026,2,3.14159,0
1.02501,2.79632,0.781917,2,3.14159,0
1.03283,2.81181,0.779839,2,3.14159,0
1.04068,2.82737,0.777792,2,3.14159,0
1.04855,2.843,0.775775,2,3.14159,0
1.05646,2.85869,0.77379,2,3.14159,0
1.0644,2.87445,0.771834,2,3.14159,0
1.07237,2.89028,0.76991,2,3.14159,0
1.08038,2.90617,0.768016,2,3.14159,0
1.08841,2.92213,0.766153,2,3.14159,0
1.09648,2.93815,0.76432,2,3.14159,0
1.10457,2.95425,0.762518,2,3.14159,0
1.1127,2.97041,0.760747,2,3.14159,0
1.12086,2.98664,0.759006,2,3.14159,0
1.12906,3.00293,0.757296,2,3.14159,0
1.13728,3.0193,0.755617,2,3.14159,0
1.14554,3.03573,0.753967,2,3.14159,0
1.15383,3.05224,0.752349,2,3.14159,0
1.16215,3.06881,0.750761,2,3.14159,0
1.17051,3.08545,0.749204,2,3.14159,0
1.1789,3.10216,0.747677,2,3.14159,0
1.18732,3.11894,0.74618,2,3.14159,0
1.19578,3.13579,0.744714,2,3.14159,0
1.20427,3.15271,0.743279,2,3.14159,0
1.2128,3.16971,0.741874,2,3.14159,0
1.22136,3.18677,0.7405,2,3.14159,0
1.22995,3.2039,0.739156,2,3.14159,0
1.23858,3.22111,0.737842,2,3.14159,0
1.24724,3.23838,0.736559,2,3.14159,0
1.25594,3.25573,0.735306,2,3.14159,0
1.26467,3.27315,0.734084,2,3.14159,0
1.27344,3.29065,0.732892,2,3.14159,0
1.28224,3.30821,0.73173,2,3.14159,0
1.29107,3.32585,0.730599,2,3.14159,0
1.29995,3.34356,0.729498,2,3.14159,0
1.30886,3.36135,0.728428,2,3.14159,0
1.3178,3.3792,0.727388,2,3.14159,0
1.32678,3.39714,0.726378,2,3.14159,0
1.3358,3.41514,0.725399,2,3.14159,0
1.34485,3.43322,0.72445,2,3.14159,0
1.35394,3.45138,0.723531,2,3.14159,0
1.36306,3.46961,0.722642,2,3.14159,0
1.37223,3.48791,0.721784,2,3.14159,0
1.38143,3.50629,0.720956,2,3.14159,0
1.39066,3.52475,0.720158,2,3.14159,0
1.39994,3.54328,0.719391,2,3.14159,0
1.40925,3.56189,0.718653,2,3.14159,0
1.4186,3.58057,0.717946,2,3.14159,0
1.42798,3.59933,0.717269,2,3.14159,0
1.43741,3.61817,0.716623,2,3.14159,0
1.44687,3.63708,0.716006,2,3.14159,0
1.45637,3.65608,0.71542,2,3.14159,0
1.46591,3.67515,0.714864,2,3.14159,0
1.47549,3.69429,0.714338,2,3.14159,0
1.4851,3.71352,0.713842,2,3.14159,0
1.49476,3.73282,0.713377,2,3.14159,0
1.50445,3.7522,0.712941,2,3.14159,0
1.51418,3.77166,0.712536,2,3.14159,0
1.52395,3.7912,0.71216,2,3.14159,0
1.53376,3.81082,0.711815,2,3.14159,0
1.54361,3.83052,0.7115,2,3.14159,0
1.5535,3.8503,0.711215,2,3.14159,0
1.56343,3.87015,0.71096,2,3.14159,0
1.5734,3.89009,0.710735,2,3.14159,0
1.58341,3.91011,0.71054,2,3.14159,0
1.59346,3.93021,0.710375,2,3.14159,0
1.60355,3.95039,0.71024,2,3.14159,0
1.61368,3.97065,0.710135,2,3.14159,0
1.62386,3.991,0.71006,2,3.14159,0
1.63407,4.01142,0.710015,2,3.14159,0
1.64432,4.03193,0.71,2,3.14159,4
1.65386,4.05101,0.710023,2,0,0
1.66325,4.06978,0.710091,2,0,0
1.67249,4.08826,0.710204,2,0,0
1.68159,4.10645,0.710361,2,0,0
1.69054,4.12436,0.710561,2,0,0
1.69935,4.14198,0.710805,2,0,0
1.70803,4.15933,0.711091,2,0,0
1.71656,4.1764,0.711418,2,0,0
1.72497,4.19321,0.711787,2,0,0
1.73325,4.20976,0.712196,2,0,0
1.7414,4.22605,0.712646,2,0,0
1.74942,4.24209,0.713134,2,0,0
1.75732,4.25789,0.713662,2,0,0
1.7651,4.27344,0.714228,2,0,0
1.77277,4.28876,0.714831,2,0,0
1.78032,4.30384,0.715472,2,0,0
1.78775,4.3187,0.716149,2,0,0
1.79508,4.33334,0.716861,2,0,0
1.8023,4.34776,0.71761,2,0,0
1.80942,4.36197,0.718393,2,0,0
1.81643,4.37598,0.71921,2,0,0
1.82335,4.38978,0.72006,2,0,0
1.83017,4.40339,0.720944,2,0,0
1.83689,4.4168,0.72186,2,0,0
1.84352,4.43003,0.722807,2,0,0
1.85006,4.44308,0.723786,2,0,0
1.85652,4.45595,0.724795,2,0,0
1.86289,4.46866,0.725835,2,0,0
1.86918,4.48119,0.726903,2,0,0
1.87539,4.49356,0.728001,2,0,0
1.88153,4.50578,0.729127,2,0,0
1.88759,4.51785,0.73028,2,0,0
1.89358,4.52977,0.731461,2,0,0
1.8995,4.54155,0.732668,2,0,0
1.90535,4.55319,0.733901,2,0,0
1.91114,4.5647,0.735159,2,0,0
1.91687,4.57609,0.736442,2,0,0
1.92254,4.58735,0.737749,2,0,0
1.92816,4.5985,0.73908,2,0,0
1.93372,4.60954,0.740433,2,0,0
1.93923,4.62047,0.741809,2,0,0
1.94468,4.6313,0.743206,2,0,0
1.9501,4.64203,0.744625,2,0,0
1.95547,4.65268,0.746065,2,0,0
1.9608,4.66323,0.747524,2,0,0
1.96609,4.67371,0.749003,2,0,0
1.97134,4.68411,0.7505,2,0,0
1.97656,4.69443,0.752016,2,0,0
1.98175,4.70469,0.75355,2,0,0
1.9869,4.7149,0.7551,2,0,0
1.99204,4.72504,0.756667,2,0,0
1.99714,4.73513,0.75825,2,0,0
2.00223,4.74518,0.759849,2,0,0
2.0073,4.75518,0.761462,2,0,0
2.01235,4.76515,0.763089,2,0,0
2.01739,4.77509,0.764729,2,0,0
2.02241,4.785,0.766383,2,0,0
2.02742,4.79489,0.768049,2,0,0
2.03243,4.80477,0.769726,2,0,0
2.03744,4.81463,0.771415,2,0,0
2.04244,4.82449,0.773114,2,0,0
2.04744,4.83435,0.774824,2,0,0
2.05244,4.84421,0.776543,2,0,0
2.05745,4.85408,0.77827,2,0,0
2.06247,4.86396,0.780006,2,0,0
2.0675,4.87386,0.78175,2,0,0
2.07254,4.88378,0.7835,2,0,0
2.07759,4.89374,0.785257,2,0,0
2.08266,4.90373,0.78702,2,0,0
2.08775,4.91375,0.788788,2,0,0
2.09286,4.92382,0.790561,2,0,0
2.098,4.93394,0.792338,2,0,0
2.10317,4.94412,0.794119,2,0,0
2.10836,4.95435,0.795902,2,0,0
2.11358,4.96464,0.797688,2,0,0
2.11884,4.97501,0.799476,2,0,0
2.12414,4.98545,0.801265,2,0,0
2.12947,4.99596,0.803054,2,0,0
2.13485,5.00657,0.804844,2,0,0
2.14027,5.01726,0.806633,2,0,0
2.14573,5.02804,0.80842,2,0,0
2.15125,5.03892,0.810206,2,0,0
2.15681,5.04991,0.81199,2,0,0
2.16243,5.061,0.81377,2,0,0
2.16811,5.07221,0.815547,2,0,0
2.17384,5.08354,0.81732,2,0,0
2.17963,5.09499,0.819088,2,0,0
2.18549,5.10657,0.820851,2,0,0
2.19141,5.11829,0.822608,2,0,0
2.1974,5.13014,0.824359,2,0,0
2.20346,5.14214,0.826102,2,0,0
2.2096,5.15428,0.827838,2,0,0
2.21581,5.16658,0.829566,2,0,0
2.2221,5.17904,0.831285,2,0,0
2.22847,5.19166,0.832994,2,0,0
2.23492,5.20445,0.834694,2,0,0
2.24146,5.21742,0.836382,2,0,0
2.24808,5.23056,0.83806,2,0,0
2.2548,5.24389,0.839726,2,0,0
2.26161,5.25741,0.841379,2,0,0
2.26851,5.27112,0.84302,2,0,0
2.27551,5.28503,0.844647,2,0,0
2.28261,5.29914,0.84626,2,0,0
2.28982,5.31346,0.847858,2,0,0
2.29713,5.328,0.849441,2,0,0
2.30455,5.34275,0.851008,2,0,0
2.31208,5.35773,0.852559,2,0,0
2.31972,5.37294,0.854092,2,0,0
2.32748,5.38838,0.855608,2,0,0
