time,x_pos,y_pos,velocity,rotation,action
0,6.47,4.6,0,0,0
0.144958,6.45912,4.58203,0.289916,3.14159,0
0.204394,6.44837,4.56426,0.408789,3.14159,0
0.249591,6.43776,4.5467,0.499181,3.14159,0
0.287354,6.42728,4.52934,0.574708,3.14159,0
0.32033,6.41694,4.51217,0.64066,3.14159,0
0.349882,6.40672,4.4952,0.699764,3.14159,0
0.376817,6.39664,4.47843,0.753635,3.14159,0
0.40167,6.38668,4.46184,0.803339,3.14159,0
0.424811,6.37684,4.44544,0.849621,3.14159,0
0.44651,6.36712,4.42922,0.893019,3.14159,0
0.466971,6.35753,4.41318,0.933942,3.14159,0
0.486355,6.34805,4.39732,0.972709,3.14159,0
0.50479,6.33869,4.38163,1.00958,3.14159,0
0.522381,6.32944,4.36611,1.04476,3.14159,0
0.539212,6.3203,4.35075,1.07842,3.14159,0
0.555356,6.31127,4.33556,1.11071,3.14159,0
0.570876,6.30235,4.32053,1.14175,3.14159,0
0.585824,6.29353,4.30566,1.17165,3.14159,0
0.600245,6.28481,4.29094,1.20049,3.14159,0
0.614181,6.2762,4.27638,1.22836,3.14159,0
0.627665,6.26768,4.26196,1.25533,3.14159,0
0.640732,6.25926,4.24768,1.28146,3.14159,0
0.653406,6.25093,4.23355,1.30681,3.14159,0
0.665714,6.2427,4.21956,1.33143,3.14159,0
0.67768,6.23455,4.2057,1.35536,3.14159,0
0.689321,6.22649,4.19198,1.37864,3.14159,0
0.70066,6.21852,4.17838,1.40132,3.14159,0
0.711711,6.21063,4.16491,1.42342,3.14159,0
0.722492,6.20283,4.15157,1.44498,3.14159,0
0.733016,6.1951,4.13834,1.46603,3.14159,0
0.743297,6.18745,4.12523,1.48659,3.14159,0
0.753347,6.17987,4.11224,1.50669,3.14159,0
0.763179,6.17237,4.09935,1.52636,3.14159,0
0.772802,6.16494,4.08658,1.5456,3.14159,0
0.782227,6.15758,4.0739,1.56445,3.14159,0
0.791464,6.15028,4.06133,1.58293,3.14159,0
0.800519,6.14305,4.04886,1.60104,3.14159,0
0.809405,6.13588,4.03648,1.61881,3.14159,0
0.818126,6.12877,4.02419,1.63625,3.14159,0
0.826692,6.12172,4.012,1.65338,3.14159,0
0.835109,6.11473,3.99988,1.67022,3.14159,0
0.843382,6.10779,3.98786,1.68676,3.14159,0
0.85152,6.1009,3.97591,1.70304,3.14159,0
0.859529,6.09406,3.96403,1.71906,3.14159,0
0.867412,6.08727,3.95223,1.73482,3.14159,0
0.875178,6.08052,3.9405,1.75036,3.14159,0
0.88283,6.07382,3.92884,1.76566,3.14159,0
0.890373,6.06716,3.91724,1.78075,3.14159,0
0.897814,6.06054,3.9057,1.79563,3.14159,0
0.905155,6.05395,3.89422,1.81031,3.14159,0
0.912401,6.0474,3.88279,1.8248,3.14159,0
0.919558,6.04088,3.87141,1.83912,3.14159,0
0.926628,6.0344,3.86009,1.85326,3.14159,0
0.933616,6.02794,3.8488,1.86723,3.14159,0
0.940527,6.02151,3.83756,1.88105,3.14159,0
0.947362,6.0151,3.82636,1.89472,3.14159,0
0.954127,6.00872,3.8152,1.90825,3.14159,0
0.960823,6.00235,3.80406,1.92165,3.14159,0
0.967456,5.99601,3.79296,1.93491,3.14159,0
0.974028,5.98968,3.78188,1.94806,3.14159,0
0.980541,5.98336,3.77083,1.96108,3.14159,0
0.987001,5.97706,3.75979,1.974,3.14159,0
0.993408,5.97076,3.74877,1.98682,3.14159,0
0.999766,5.96447,3.73777,1.99953,3.14159,0
1.00608,5.95819,3.72678,2.01216,3.14159,0
1.01241,5.95191,3.71579,2,3.14159,0
1.01873,5.94563,3.70481,2,3.14159,0
1.02505,5.93935,3.69383,2,3.14159,0
1.03138,5.93307,3.68285,2,3.14159,0
1.03771,5.92678,3.67187,2,3.14159,0
1.04404,5.92049,3.66087,2,3.14159,0
1.05038,5.91418,3.64987,2,3.14159,0
1.05674,5.90787,3.63885,2,3.14159,0
1.0631,5.90154,3.62781,2,3.14159,0
1.06947,5.89519,3.61675,2,3.14159,0
1.07586,5.88883,3.60567,2,3.14159,0
1.08227,5.88245,3.59456,2,3.14159,0
1.08869,5.87604,3.58343,2,3.14159,0
1.09516,5.86961,3.57225,1.98707,3.14159,0
1.10169,5.86316,3.56105,1.97401,3.14159,0
1.10828,5.85667,3.5498,1.96081,3.14159,0
1.11495,5.85016,3.53851,1.94747,3.14159,0
1.1217,5.84361,3.52718,1.93399,3.14159,0
1.12852,5.83703,3.5158,1.92034,3.14159,0
1.13542,5.83041,3.50436,1.90653,3.14159,0
1.14242,5.82375,3.49287,1.89255,3.14159,0
1.1495,5.81705,3.48133,1.87839,3.14159,0
1.15667,5.81031,3.46972,1.86404,3.14159,0
1.16394,5.80352,3.45805,1.8495,3.14159,0
1.17132,5.79669,3.44631,1.83475,3.14159,0
1.1788,5.7898,3.4345,1.81978,3.14159,0
1.18639,5.78287,3.42261,1.8046,3.14159,0
1.1941,5.77588,3.41065,1.78918,3.14159,0
1.20193,5.76883,3.39861,1.77352,3.14159,0
1.20989,5.76173,3.38649,1.7576,3.14159,0
1.21798,5.75456,3.37428,1.74141,3.14159,0
1.22621,5.74733,3.36198,1.72495,3.14159,0
1.23459,5.74004,3.34959,1.7082,3.14159,0
1.24311,5.73269,3.3371,1.69115,3.14159,0
1.2518,5.72526,3.32452,1.67378,3.14159,0
1.26065,5.71776,3.31183,1.65608,3.14159,0
1.26967,5.71019,3.29904,1.63803,3.14159,0
1.27888,5.70255,3.28614,1.61962,3.14159,0
1.28828,5.69483,3.27313,1.60083,3.14159,0
1.29787,5.68703,3.26,1.58164,3.14159,0
1.30768,5.67915,3.24676,1.56203,3.14159,0
1.3177,5.67118,3.2334,1.54198,3.14159,0
1.32795,5.66313,3.21991,1.52147,3.14159,0
1.33845,5.65499,3.2063,1.50048,3.14159,0
1.3492,5.64676,3.19256,1.47898,3.14159,0
1.36022,5.63844,3.17868,1.45693,3.14159,0
1.37153,5.63003,3.16467,1.43432,3.14159,0
1.38313,5.62152,3.15052,1.41111,3.14159,0
1.39506,5.61291,3.13623,1.38726,3.14159,0
1.40732,5.6042,3.12179,1.36274,3.14159,0
1.41994,5.59539,3.1072,1.33749,3.14159,0
1.43295,5.58648,3.09247,1.31148,3.14159,0
1.44636,5.57746,3.07757,1.28465,3.14159,0
1.46022,5.56833,3.06252,1.25695,3.14159,0
1.47454,5.55908,3.04731,1.2283,3.14159,0
1.48937,5.54973,3.03193,1.19864,3.14159,0
1.50475,5.54026,3.01639,1.16787,3.14159,0
1.52073,5.53067,3.00067,1.13591,3.14159,0
1.53737,5.52097,2.98479,1.10264,3.14159,0
1.55472,5.51114,2.96872,1.06794,3.14159,0
1.57287,5.50119,2.95248,1.03165,3.14159,0
1.5919,5.49111,2.93605,0.993587,3.14159,0
1.61192,5.48091,2.91944,0.953535,3.14159,0
1.63308,5.47057,2.90264,0.911223,3.14159,0
1.65553,5.46011,2.88564,0.86631,3.14159,0
1.67951,5.44951,2.86845,0.81836,3.14159,0
1.70529,5.43877,2.85107,0.766792,3.14159,0
1.73328,5.4279,2.83348,0.710811,3.14159,0
1.76406,5.41688,2.81568,0.649261,3.14159,0
1.79851,5.40572,2.79768,0.580363,3.14159,0
1.83815,5.39442,2.77947,0.501081,3.14159,0
1.88602,5.38297,2.76104,0.405345,3.14159,0
1.95042,5.37137,2.74239,0.276539,3.14159,0
2.08869,5.35963,2.72353,0,3.14159,0
