time,x_pos,y_pos,velocity,rotation,action
0,6.47,4.6,0,0,0
0.138057,6.45094,4.60001,0.276113,3.14159,0
0.195305,6.43186,4.60005,0.390611,3.14159,0
0.239276,6.41275,4.60011,0.478552,3.14159,0
0.276378,6.39362,4.60019,0.552756,3.14159,0
0.309095,6.37446,4.6003,0.61819,3.14159,0
0.338699,6.35528,4.60042,0.677398,3.14159,0
0.365946,6.33608,4.60057,0.731892,3.14159,0
0.391328,6.31686,4.60075,0.782656,3.14159,0
0.415187,6.29762,4.60094,0.830373,3.14159,0
0.43777,6.27836,4.60116,0.87554,3.14159,0
0.459266,6.25908,4.60139,0.918531,3.14159,0
0.47982,6.23978,4.60165,0.959641,3.14159,0
0.499549,6.22046,4.60192,0.999099,3.14159,0
0.518546,6.20112,4.60222,1.03709,3.14159,0
0.536888,6.18177,4.60253,1.07378,3.14159,0
0.554639,6.16239,4.60286,1.10928,3.14159,0
0.571854,6.143,4.60322,1.14371,3.14159,0
0.588581,6.1236,4.60358,1.17716,3.14159,0
0.604858,6.10417,4.60397,1.20972,3.14159,0
0.620722,6.08474,4.60438,1.24144,3.14159,0
0.636202,6.06528,4.6048,1.2724,3.14159,0
0.651325,6.04582,4.60524,1.30265,3.14159,0
0.666116,6.02634,4.60569,1.33223,3.14159,0
0.680595,6.00684,4.60616,1.36119,3.14159,0
0.694782,5.98734,4.60665,1.38956,3.14159,0
0.708695,5.96782,4.60715,1.41739,3.14159,0
0.722348,5.94829,4.60766,1.4447,3.14159,0
0.735754,5.92874,4.60819,1.47151,3.14159,0
0.748929,5.90919,4.60873,1.49786,3.14159,0
0.761883,5.88963,4.60929,1.52377,3.14159,0
0.774628,5.87005,4.60986,1.54926,3.14159,0
0.787171,5.85047,4.61045,1.57434,3.14159,0
0.799524,5.83088,4.61104,1.59905,3.14159,0
0.811695,5.81128,4.61165,1.62339,3.14159,0
0.82369,5.79167,4.61227,1.64738,3.14159,0
0.835517,5.77206,4.6129,1.67103,3.14159,0
0.847184,5.75244,4.61354,1.69437,3.14159,0
0.858696,5.73281,4.6142,1.71739,3.14159,0
0.87006,5.71318,4.61486,1.74012,3.14159,0
0.88128,5.69354,4.61553,1.76256,3.14159,0
0.892362,5.6739,4.61621,1.78472,3.14159,0
0.90331,5.65425,4.61691,1.80662,3.14159,0
0.914129,5.6346,4.61761,1.82826,3.14159,0
0.924824,5.61494,4.61832,1.84965,3.14159,0
0.935398,5.59529,4.61903,1.8708,3.14159,0
0.945856,5.57563,4.61976,1.89171,3.14159,0
0.9562,5.55597,4.62049,1.9124,3.14159,0
0.966433,5.5363,4.62123,1.93287,3.14159,0
0.976561,5.51664,4.62197,1.95312,3.14159,0
0.986584,5.49698,4.62273,1.97317,3.14159,0
0.996507,5.47731,4.62348,1.99301,3.14159,0
1.00633,5.45765,4.62425,2.01266,3.14159,0
1.01617,5.43799,4.62502,2,3.14159,0
1.02601,5.41833,4.62579,2,3.14159,0
1.03584,5.39867,4.62657,2,3.14159,0
1.04568,5.37902,4.62735,2,3.14159,0
1.05551,5.35937,4.62813,2,3.14159,0
1.06534,5.33972,4.62892,2,3.14159,0
1.07517,5.32008,4.62971,2,3.14159,0
1.085,5.30044,4.63051,2,3.14159,0
1.09482,5.28081,4.6313,2,3.14159,0
1.10464,5.26118,4.6321,2,3.14159,0
1.11446,5.24156,4.6329,2,3.14159,0
1.12428,5.22195,4.6337,2,3.14159,0
1.13409,5.20234,4.6345,2,3.14159,0
1.1439,5.18275,4.6353,2,3.14159,0
1.1537,5.16316,4.6361,2,3.14159,0
1.1635,5.14358,4.6369,2,3.14159,0
1.17329,5.124,4.6377,2,3.14159,0
1.18308,5.10444,4.6385,2,3.14159,0
1.19286,5.08489,4.6393,2,3.14159,0
1.20264,5.06535,4.64009,2,3.14159,0
1.21241,5.04582,4.64088,2,3.14159,0
1.22218,5.0263,4.64167,2,3.14159,0
1.23194,5.0068,4.64246,2,3.14159,0
1.2417,4.98731,4.64324,2,3.14159,0
1.25144,4.96783,4.64402,2,3.14159,0
1.26118,4.94837,4.6448,2,3.14159,0
1.27092,4.92891,4.64557,2,3.14159,0
1.28064,4.90948,4.64634,2,3.14159,0
1.29036,4.89006,4.6471,2,3.14159,0
1.30007,4.87066,4.64785,2,3.14159,0
1.30977,4.85127,4.6486,2,3.14159,0
1.31946,4.8319,4.64934,2,3.14159,0
1.32914,4.81254,4.65008,2,3.14159,0
1.33882,4.79321,4.65081,2,3.14159,0
1.34848,4.77389,4.65153,2,3.14159,0
1.35814,4.75459,4.65224,2,3.14159,0
1.36779,4.73531,4.65295,2,3.14159,0
1.37742,4.71606,4.65365,2,3.14159,0
1.38705,4.69682,4.65433,2,3.14159,0
1.39666,4.6776,4.65501,2,3.14159,0
1.40626,4.65841,4.65568,2,3.14159,0
1.41586,4.63923,4.65634,2,3.14159,0
1.42544,4.62008,4.65699,2,3.14159,0
1.43501,4.60095,4.65763,2,3.14159,0
1.44456,4.58185,4.65825,2,3.14159,0
1.45411,4.56277,4.65887,2,3.14159,0
1.46364,4.54371,4.65947,2,3.14159,0
1.47316,4.52468,4.66006,2,3.14159,0
1.48267,4.50567,4.66064,2,3.14159,0
1.49216,4.4867,4.66121,2,3.14159,0
1.50165,4.46774,4.66176,2,3.14159,0
1.51111,4.44882,4.66229,2,3.14159,0
1.52057,4.42992,4.66282,2,3.14159,0
1.53,4.41105,4.66333,2,3.14159,0
1.53943,4.3922,4.66382,2,3.14159,0
1.54884,4.37339,4.6643,2,3.14159,0
1.55823,4.35461,4.66476,2,3.14159,0
1.56761,4.33585,4.66521,2,3.14159,0
1.57698,4.31713,4.66564,2,3.14159,0
1.58632,4.29844,4.66606,2,3.14159,0
1.59566,4.27978,4.66645,2,3.14159,0
1.60497,4.26115,4.66683,2,3.14159,0
1.61427,4.24255,4.66719,2,3.14159,0
1.62356,4.22399,4.66754,2,3.14159,0
1.63282,4.20546,4.66786,2,3.14159,0
1.64207,4.18697,4.66817,2,3.14159,0
1.6513,4.16851,4.66846,2,3.14159,0
1.66051,4.15008,4.66872,2,3.14159,0
1.66971,4.13169,4.66897,2,3.14159,0
1.67889,4.11334,4.6692,2,3.14159,0
1.68805,4.09502,4.6694,2,3.14159,0
1.69719,4.07674,4.66959,2,3.14159,0
1.70631,4.0585,4.66975,2,3.14159,0
1.71541,4.04029,4.66989,2,3.14159,0
1.7245,4.02213,4.67001,2,3.14159,0
1.73356,4.004,4.67011,2,3.14159,0
1.7426,3.98591,4.67018,2,3.14159,0
1.75163,3.96787,4.67023,2,3.14159,0
1.76063,3.94986,4.67026,2,3.14159,0
1.76961,3.93189,4.67026,2,3.14159,0
1.77857,3.91397,4.67023,2,3.14159,0
1.78751,3.89609,4.67019,2,3.14159,0
1.79643,3.87825,4.67011,2,3.14159,0
1.80533,3.86045,4.67002,2,3.14159,0
1.81421,3.8427,4.66989,2,3.14159,0
1.82306,3.82499,4.66974,2,3.14159,0
1.8319,3.80733,4.66956,2,3.14159,0
1.8407,3.78971,4.66936,2,3.14159,0
1.84949,3.77214,4.66913,2,3.14159,0
1.85826,3.75461,4.66887,2,3.14159,0
1.867,3.73713,4.66858,2,3.14159,0
1.87571,3.7197,4.66826,2,3.14159,0
1.88441,3.70232,4.66792,2,3.14159,0
1.89308,3.68498,4.66754,2,3.14159,0
1.90173,3.66769,4.66714,2,3.14159,0
1.91035,3.65045,4.6667,2,3.14159,0
1.91895,3.63326,4.66624,2,3.14159,0
1.92752,3.61613,4.66574,2,3.14159,0
1.93607,3.59904,4.66522,2,3.14159,0
1.94459,3.582,4.66466,2,3.14159,0
1.95309,3.56501,4.66407,2,3.14159,0
1.96156,3.54808,4.66344,2,3.14159,0
1.97001,3.5312,4.66279,2,3.14159,0
1.97843,3.51437,4.6621,2,3.14159,0
1.98682,3.4976,4.66138,2,3.14159,0
1.99519,3.48088,4.66062,2,3.14159,0
2.00353,3.46422,4.65983,2,3.14159,0
2.01185,3.44761,4.65901,2,3.14159,0
