time,x_pos,y_pos,velocity,rotation,action
0,1.86,3.88,0,3.14159,0
0.103889,1.86194,3.89062,0.207779,0,0
0.14669,1.864,3.90114,0.293379,0,0
0.179383,1.86619,3.91158,0.358767,0,0
0.206821,1.86849,3.92192,0.413643,0,0
0.230893,1.87091,3.93217,0.461786,0,0
0.252563,1.87346,3.94234,0.505126,0,0
0.272413,1.87612,3.95241,0.544825,0,0
0.290815,1.8789,3.9624,0.581629,0,0
0.308036,1.8818,3.97229,0.616072,0,0
0.324264,1.88482,3.9821,0.648528,0,0
0.339648,1.88796,3.99182,0.679296,0,0
0.354299,1.89121,4.00145,0.708598,0,0
0.368307,1.89458,4.011,0.736613,0,0
0.381746,1.89807,4.02045,0.763493,0,0
0.394677,1.90167,4.02983,0.789354,0,0
0.407151,1.90539,4.03911,0.814302,0,0
0.419212,1.90922,4.04831,0.838423,0,0
0.430896,1.91317,4.05742,0.861793,0,0
0.442237,1.91724,4.06645,0.884473,0,0
0.45326,1.92142,4.0754,0.90652,0,0
0.463992,1.92571,4.08426,0.927985,0,0
0.474456,1.93012,4.09303,0.948912,0,0
0.484671,1.93463,4.10172,0.969342,0,0
0.494652,1.93927,4.11033,0.989304,0,0
0.504418,1.94401,4.11886,1.00884,0,0
0.513982,1.94887,4.1273,1.02796,0,0
0.523357,1.95383,4.13566,1.04671,0,0
0.532555,1.95891,4.14394,1.06511,0,0
0.541588,1.9641,4.15214,1.08318,0,0
0.550464,1.9694,4.16025,1.10093,0,0
0.559194,1.97481,4.16829,1.11839,0,0
0.567785,1.98033,4.17625,1.13557,0,0
0.576247,1.98596,4.18412,1.15249,0,0
0.584585,1.99169,4.19192,1.16917,0,0
0.592808,1.99754,4.19964,1.18562,0,0
0.60092,2.00349,4.20727,1.20184,0,0
0.608928,2.00955,4.21483,1.21786,0,0
0.616839,2.01572,4.22232,1.23368,0,0
0.624656,2.022,4.22972,1.24931,0,0
0.632385,2.02838,4.23704,1.26477,0,0
0.640031,2.03486,4.24429,1.28006,0,0
0.647597,2.04146,4.25147,1.29519,0,0
0.655087,2.04815,4.25856,1.31017,0,0
0.662507,2.05496,4.26558,1.32501,0,0
0.669859,2.06187,4.27253,1.33972,0,0
0.677146,2.06888,4.2794,1.35429,0,0
0.684371,2.07599,4.28619,1.36874,0,0
0.691539,2.08321,4.29291,1.38308,0,0
0.698653,2.09053,4.29956,1.39731,0,0
0.705713,2.09796,4.30613,1.41143,0,0
0.712723,2.10548,4.31263,1.42545,0,0
0.719686,2.11311,4.31906,1.43937,0,0
0.726604,2.12084,4.32541,1.45321,0,0
0.733479,2.12867,4.33169,1.46696,0,0
0.740313,2.1366,4.3379,1.48063,0,0
0.747108,2.14463,4.34404,1.49422,0,0
0.753867,2.15276,4.35011,1.50773,0,0
0.760591,2.16099,4.3561,1.52118,0,0
0.76728,2.16932,4.36203,1.53456,0,0
0.773939,2.17775,4.36788,1.54788,0,0
0.780567,2.18627,4.37367,1.56113,0,0
0.787166,2.19489,4.37938,1.57433,0,0
0.793738,2.20361,4.38503,1.58748,0,0
0.800284,2.21243,4.39061,1.60057,0,0
0.806805,2.22135,4.39612,1.61361,0,0
0.813302,2.23036,4.40156,1.6266,0,0
0.819778,2.23946,4.40694,1.63956,0,0
0.826231,2.24867,4.41225,1.65246,0,0
0.832665,2.25796,4.41749,1.66533,0,0
0.839079,2.26735,4.42266,1.67816,0,0
0.845475,2.27684,4.42777,1.69095,0,0
0.851853,2.28642,4.43281,1.70371,0,0
0.858215,2.29609,4.43779,1.71643,0,0
0.864561,2.30586,4.44271,1.72912,0,0
0.870891,2.31572,4.44755,1.74178,0,0
0.877208,2.32567,4.45234,1.75442,0,0
0.88351,2.33571,4.45706,1.76702,0,0
0.8898,2.34585,4.46172,1.7796,0,0
0.896078,2.35607,4.46631,1.79216,0,0
0.902343,2.36639,4.47084,1.80469,0,0
0.908597,2.3768,4.47531,1.81719,0,0
0.91484,2.38729,4.47972,1.82968,0,0
0.921074,2.39788,4.48406,1.84215,0,0
0.927297,2.40856,4.48835,1.85459,0,0
0.933511,2.41932,4.49257,1.86702,0,0
0.939716,2.43017,4.49673,1.87943,0,0
0.945913,2.44111,4.50083,1.89183,0,0
0.952102,2.45214,4.50488,1.9042,0,0
0.958283,2.46326,4.50886,1.91657,0,0
0.964456,2.47446,4.51278,1.92891,0,0
0.970623,2.48575,4.51665,1.94125,0,0
0.976782,2.49713,4.52046,1.95356,0,0
0.982935,2.50859,4.52421,1.96587,0,0
0.989082,2.52013,4.5279,1.97816,0,0
0.995223,2.53176,4.53153,1.99045,0,0
1.00136,2.54348,4.53511,2.00272,0,0
1.00752,2.55528,4.53863,2,0,0
1.0137,2.56716,4.5421,2,0,0
1.01993,2.57913,4.5455,2,0,0
1.02618,2.59118,4.54886,2,0,0
1.03247,2.60331,4.55216,2,0,0
1.03878,2.61552,4.5554,2,0,0
1.04514,2.62782,4.55859,2,0,0
1.05152,2.6402,4.56173,2,0,0
1.05794,2.65265,4.56481,2,0,0
1.06439,2.66519,4.56784,2,0,0
1.07087,2.67781,4.57081,2,0,0
1.07738,2.69051,4.57374,2,0,0
1.08393,2.70329,4.57661,2,0,0
