time,x_pos,y_pos,velocity,rotation,action
0,1.86,2.76937,0,3.14159,0
0.124714,1.87555,2.76938,0.249427,0,0
0.176711,1.89123,2.76938,0.353422,0,0
0.216816,1.90701,2.76939,0.433631,0,0
0.250779,1.92289,2.7694,0.501559,0,0
0.280819,1.93886,2.76942,0.561639,0,0
0.308067,1.95491,2.76943,0.616135,0,0
0.333194,1.97102,2.76945,0.666388,0,0
0.356633,1.98719,2.76948,0.713266,0,0
0.378684,2.0034,2.7695,0.757367,0,0
0.399562,2.01965,2.76953,0.799124,0,0
0.419431,2.03592,2.76955,0.838862,0,0
0.438416,2.05221,2.76958,0.876832,0,0
0.456615,2.0685,2.76961,0.91323,0,0
0.474107,2.08478,2.76964,0.948215,0,0
0.490958,2.10104,2.76967,0.981916,0,0
0.507778,2.11727,2.7697,0.948276,0,0
0.525173,2.13346,2.76973,0.913486,0,0
0.543199,2.14961,2.76976,0.877433,0,0
0.561927,2.16569,2.76979,0.839978,0,0
0.581439,2.1817,2.76982,0.800955,0,0
0.601842,2.19762,2.76985,0.760147,0,0
0.623276,2.21346,2.76987,0.71728,0,0
0.64592,2.22919,2.7699,0.671992,0,0
0.67002,2.2448,2.76992,0.623791,0,0
0.695927,2.26029,2.76994,0.571977,0,0
0.724164,2.27564,2.76996,0.515503,0,0
0.755578,2.29085,2.76997,0.452675,0,0
0.791709,2.3059,2.76998,0.380414,0,0
0.835981,2.32078,2.76999,0.291869,0,0
0.900716,2.33549,2.77,0,0,0
